part,kidslt6,age,educ,nwifeinc
0,1,37,11,14.75
0,1,40,12,21
0,0,54,15,35.4
0,0,53,7,10.7
0,0,48,12,24.5
0,1,36,12,17.045
0,0,57,12,18.8
0,0,51,12,14
0,0,33,13,18.214
0,0,52,12,20.177
0,0,56,10,8.3
0,1,36,12,14.2
0,1,36,14,21.768
0,0,46,12,29.553
0,0,31,10,4.35
0,0,52,11,24
0,0,46,12,18.3
0,2,35,12,17.2
0,0,59,12,16.476
0,0,36,8,13.4
0,1,51,7,44.988
0,1,31,16,18.2
0,0,31,14,28
0,1,32,12,11.55
0,1,35,16,28.45
0,0,40,12,15.096
0,1,33,10,8.009
0,0,54,7,10.04
0,1,36,12,16.7
0,0,50,10,8.4
0,0,54,8,13
0,0,48,11,17.97
0,0,41,15,18.45
0,0,50,12,31
0,0,46,12,24.135
0,0,42,13,31.7
0,1,31,9,10.19
0,0,53,12,21.574
0,0,51,12,26.68
0,0,47,12,17.7
0,0,50,12,29.4
0,0,37,6,22.159
0,2,30,12,35
0,0,49,12,8.63
0,0,52,12,17.08
0,0,47,12,32.5
0,0,49,12,16
0,0,44,12,18.85
0,0,53,8,17.5
0,1,30,12,19.392
0,0,54,12,14.45
0,1,47,7,21.8
0,0,56,15,7.7
0,0,49,12,31.8
0,0,48,6,17.258
0,0,49,12,13.399
0,0,56,12,16.073
0,0,46,12,23.26
0,0,45,12,37.3
0,0,32,12,11
0,1,43,12,13.075
0,1,34,12,13.7
0,1,30,12,25.1
0,2,38,17,18.6
0,1,33,16,29
0,0,52,12,19.237
0,0,43,11,19.855
0,1,33,12,9.45
0,0,45,10,30
0,2,36,10,15
0,1,34,12,24.701
0,0,37,14,15.9
0,0,46,10,16.24
0,0,47,12,21.1
0,2,31,16,23
0,0,57,5,6.34
0,1,30,12,42.25
0,0,30,12,14.694
0,0,44,12,21.417
0,0,53,13,20.2
0,0,51,8,12.09
0,1,39,12,24.76
0,0,52,8,23
0,0,46,8,19.365
0,0,47,12,5.55
0,0,52,8,68.035
0,0,45,12,29.3
0,0,60,11,18.5
0,0,41,13,22.582
0,0,39,8,21.5
0,0,49,12,28.07
0,1,32,15,50.3
0,1,33,12,23.5
0,0,36,10,15.5
0,3,37,13,13.44
0,1,30,12,8.1
0,1,44,11,9.8
0,0,48,12,20.3
0,0,40,11,15
0,0,47,13,56.1
0,0,36,12,22.846
0,0,40,11,22.225
0,0,46,12,17.635
0,0,52,12,18.5
0,0,44,12,13.39
0,0,45,10,15.15
0,2,30,7,16.2
0,1,40,12,33.92
0,0,43,12,14
0,0,49,12,16.736
0,1,46,12,30.65
0,0,52,11,12.4
0,1,31,12,19.022
0,1,42,10,11.203
0,0,33,11,19.876
0,0,57,16,57
0,0,49,10,18.29
0,0,45,14,20.22
0,0,56,11,22.15
0,1,41,12,30.623
0,0,56,5,9.38
0,0,48,10,22
0,0,52,16,23.675
0,0,51,12,33.671
0,0,35,11,12.367
0,0,45,12,21.95
0,0,54,12,32
0,0,54,12,22.61
0,1,31,12,12.092
0,0,53,6,3.777
0,2,35,14,36
0,1,36,12,26.9
0,0,59,12,32.242
0,0,54,16,35.02
0,1,37,12,37.6
0,0,44,12,1.5
0,1,34,17,96
0,0,49,12,18.15
0,0,49,12,15.5
0,0,60,9,14
0,0,51,12,14.756
0,1,30,12,22
0,0,47,12,24.466
0,0,36,12,24.4
0,1,35,12,24
0,0,58,12,15.5
0,1,41,14,30.8
0,0,51,10,10.66
0,0,47,12,13.35
0,1,45,9,10.09
0,0,60,14,55.6
0,1,30,16,25.7
0,0,55,11,29
0,1,32,12,7.286
0,0,36,12,37.752
0,0,55,12,13.072
0,0,47,12,7.044
0,0,47,12,18.2
0,0,37,11,27
0,0,50,12,30.3
0,0,30,12,12
0,0,48,17,31.5
0,0,43,10,27.092
0,1,48,11,20.968
0,1,41,14,27
0,0,50,12,11.225
0,0,58,8,37.7
0,0,38,13,28.2
0,0,37,12,34
0,0,50,16,63.2
0,0,42,8,7.5
0,1,37,9,17.41
0,0,41,16,51
0,0,31,12,12.916
0,0,51,12,21.9
0,1,36,12,17.64
0,0,54,15,20
0,0,49,12,15
0,1,48,9,14.06
0,0,42,9,15.825
0,1,41,12,16.51
0,0,55,16,13
0,0,42,9,10
0,0,32,15,22
0,0,43,12,29.8
0,1,33,12,15
0,0,48,15,22.3
0,0,43,12,14.55
0,1,47,17,19.73
0,0,54,12,35
0,0,51,12,21.014
0,0,51,10,10.876
0,1,43,13,27.85
0,0,53,12,9.56
0,1,34,11,30.3
0,1,31,8,7.72
0,0,56,12,10.55
0,0,42,16,24.106
0,0,32,12,22.995
0,1,35,12,6
0,1,30,12,24.35
0,0,51,10,7.608
0,0,47,12,28.2
0,0,54,12,16.15
0,3,31,15,51.2
0,0,47,10,12.646
0,0,47,14,19
0,0,40,12,19
0,0,48,8,14.4
0,0,34,8,7.232
0,0,38,12,21.943
0,1,32,12,47.5
0,0,48,16,28.9
0,0,41,12,12.4
0,0,49,5,6.531
0,0,59,8,22.422
0,0,58,13,22.2
0,0,41,12,77
0,0,45,12,88
0,1,30,14,26.04
0,0,41,12,63.5
0,2,30,12,12.1
0,0,53,12,17.505
0,0,31,12,18
0,0,43,14,28.069
0,1,31,12,14
0,0,51,12,8.117
0,0,43,9,11.895
0,1,31,14,45.25
0,0,48,11,31.106
0,1,31,12,4
0,0,44,12,40.5
0,0,48,11,21.62
0,0,53,12,23.426
0,0,42,10,26
0,2,39,12,7.84
0,1,32,10,6.8
0,0,36,12,5.33
0,0,40,13,28.2
0,2,31,12,10
0,0,43,12,9.952
0,0,60,12,24.984
0,0,39,9,28.363
