luwe,educ,exper
5.9517,12,13
5.2557,12,20
6.3979,11,19
6.4065,16,9
5.9732,18,8
5.4985,14,18
5.1927,11,14
5.6302,14,12
5.7942,11,17
5.7942,11,18
5.5372,12,11
5.6417,12,19
6.4397,12,11
6.4827,13,17
6.3575,16,10
5.4037,16,9
6.1737,15,12
5.9525,12,13
6.0427,12,19
6.174,12,10
6.2042,12,16
6.5805,16,9
5.5379,17,8
6.8022,16,7
6.7349,14,12
5.7037,13,16
5.8207,14,9
5.0967,12,20
5.9957,12,16
5.5607,12,12
5.7787,12,19
6.8685,13,11
5.901,12,20
5.7287,16,13
4.9277,12,13
5.2887,12,13
5.9274,16,9
7.3132,12,20
6.2025,14,12
6.1837,12,20
5.4417,15,7
5.4384,15,9
6.3967,16,10
6.1459,12,12
5.2147,11,19
5.9347,12,20
6.7632,16,9
6.3965,16,16
6.3187,15,12
6.3965,16,12
5.6347,12,18
5.8583,13,13
6.7627,18,8
5.7894,12,18
5.0747,12,14
6.0067,12,14
6.62,16,7
5.5287,15,11
5.1807,12,14
5.6245,16,9
5.7417,12,19
5.0157,12,18
5.507,12,17
6.5122,17,9
5.4229,12,12
6.3177,10,21
6.4227,17,8
6.1347,16,13
6.1759,14,17
5.9842,16,16
5.2577,12,19
6.0009,18,14
6.3577,13,17
6.3019,13,18
4.9417,12,15
5.2987,12,18
6.1345,16,8
5.4417,17,10
6.6842,15,9
6.2212,12,19
6.0917,16,8
5.8967,14,10
5.9917,12,20
6.1397,12,15
5.8302,12,11
5.6527,12,18
5.9177,13,11
5.2979,12,13
6.2077,13,14
6.0547,12,18
5.2005,12,12
6.0475,13,11
5.7837,10,18
4.9416,10,19
5.4377,10,17
5.1927,10,20
5.587,12,13
5.1204,12,12
5.5217,16,11
5.7895,12,18
5.2987,9,23
6.087,17,11
5.239,12,20
5.4807,12,10
6.1759,12,19
5.9527,12,16
5.8467,11,13
6.3579,16,13
6.3665,16,12
5.6797,12,18
5.8467,13,15
5.6347,12,13
5.9657,9,22
6.2537,13,14
5.8857,14,11
5.8037,12,18
5.9917,12,18
5.8017,16,8
5.394,13,12
6.1357,13,9
6.2582,15,8
5.6347,13,11
6.6455,18,8
5.075,12,14
6.869,18,10
6.2802,14,12
6.828,13,10
6.4227,17,14
5.3147,12,13
6.2947,17,12
5.9912,12,20
5.9527,12,15
6.31,12,20
5.9817,12,16
5.8917,12,19
6.2332,12,20
6.4357,12,16
6.2627,10,16
5.9117,14,15
5.8627,18,7
5.2987,13,19
6.2629,14,12
5.3937,12,12
6.1657,17,11
5.635,14,17
6.1737,14,10
6.0832,16,11
6.3067,18,12
5.2882,13,19
6.2307,12,12
6.5967,12,18
5.8957,12,15
6.5487,18,9
5.3367,16,8
5.7787,16,7
6.8685,16,14
5.8469,15,17
6.6129,16,14
5.9015,16,12
5.8477,14,15
6.3577,12,18
5.2987,14,12
6.5399,18,13
5.6712,18,6
5.8647,12,18
6.1345,12,10
6.1837,12,10
6.4224,15,8
6.785,16,10
6.8682,16,15
5.9917,13,14
5.869,12,12
6.5217,12,11
6.5217,12,15
6.198,14,12
6.0927,12,20
5.5217,11,14
5.8859,13,10
5.8347,12,18
6.2147,12,14
6.1137,18,14
5.8857,12,10
6.8689,17,15
5.9527,15,16
6.802,11,21
6.7632,12,12
6.0475,14,16
5.8857,16,8
5.961,12,13
6.6455,18,14
6.3405,12,19
5.7047,12,20
6.3069,11,11
6.175,13,14
6.1347,15,13
6.064,12,17
6.2147,12,15
6.3232,12,20
5.7897,12,13
5.7036,16,7
6.1139,13,14
5.9725,15,8
6.1737,9,19
6.2237,17,12
5.9397,12,17
4.0559,12,11
5.5957,17,8
6.1895,15,16
6.0477,14,14
5.7687,12,20
4.9957,18,7
6.6457,16,14
5.8347,12,18
5.8457,12,13
6.175,16,14
6.0157,16,8
5.6952,12,13
5.5957,12,17
5.7687,14,17
6.135,16,11
5.8687,17,12
5.7687,16,9
6.1737,17,9
5.5817,12,11
6.2145,12,19
5.901,16,12
5.9917,12,19
5.8577,12,11
6.1757,16,11
5.5857,12,11
5.9117,16,15
5.7527,12,10
5.9397,10,22
6.3577,12,19
5.8477,12,12
5.5217,9,19
5.6057,12,14
5.6247,12,17
5.7523,12,20
6.8277,17,15
6.2885,14,12
5.5834,12,14
5.6647,12,11
6.3967,13,13
6.2639,15,10
5.952,14,9
4.9913,12,13
5.9486,16,8
5.3682,12,14
5.7683,12,10
6.0134,12,18
6.1107,12,18
5.9269,15,16
5.8347,14,13
5.3467,13,12
6.3908,12,11
5.3997,12,12
5.841,12,11
6.5399,13,12
4.848,17,13
5.6178,11,16
4.7746,12,13
5.4737,12,15
5.0807,12,10
5.1187,12,13
6.1167,16,14
5.6077,12,17
5.9397,11,18
5.4807,10,20
5.5777,13,10
5.9137,12,12
5.3937,12,13
5.4907,11,13
5.1357,10,14
5.1359,14,11
5.8469,12,16
5.4377,12,11
5.4307,9,18
5.7897,16,10
5.9787,12,11
5.8262,12,17
6.4222,16,13
5.7787,12,11
6.0009,17,7
5.7537,12,18
5.8287,12,15
5.8344,12,20
6.4585,12,18
4.6437,12,19
5.6975,14,8
5.7342,13,19
6.1089,12,10
5.5213,13,11
6.0007,16,10
6.3577,12,18
5.5627,11,12
5.7037,12,14
5.7087,12,15
5.6347,12,20
5.3047,11,13
5.9267,12,14
5.5197,10,20
5.7037,12,14
5.8857,14,10
5.3757,10,13
5.4142,13,11
5.2979,15,7
5.8857,10,22
5.3237,16,11
5.8797,18,11
6.6452,18,8
5.2677,12,12
5.1862,12,11
5.8465,12,15
5.5097,14,11
6.213,12,17
5.7047,12,16
5.2469,12,12
4.2769,12,19
5.8475,10,22
6.5402,16,12
6.0587,12,12
6.7632,18,10
5.5607,10,14
5.7525,12,14
5.2867,12,16
6.057,12,13
5.3367,10,15
5.8757,12,14
5.6529,12,12
6.3587,15,8
5.441,12,13
5.394,12,20
6.3787,16,14
5.7717,13,9
6.1759,16,8
6.087,12,11
5.4807,16,8
5.1927,11,13
5.9332,12,12
5.6872,12,16
6.4377,17,9
5.5213,14,8
5.9507,13,13
5.5405,16,10
5.2587,12,14
6.3577,16,13
5.6705,12,17
5.7527,11,15
5.5995,12,15
5.3695,12,13
5.9872,16,12
