heat pump ic,gas central ic,electric central ic,gas room ic,electric room ic,heat pump oc,gas central oc,electric central oc,gas room oc,electric room oc,choice
3017,2736,2792,4952,695,427,490,705,490,504,1
3656,3601,3509,4982,665,434,510,719,510,422,1
3332,3182,3145,5149,783,409,467,714,467,369,1
3173,2972,3159,4450,699,321,430,627,430,365,0
3762,3606,3481,5465,921,454,495,698,495,492,1
3657,3458,3191,4836,677,351,342,624,342,307,1
4420,4222,4219,5490,817,393,477,625,477,382,1
3591,3057,3020,4220,538,416,509,710,509,458,1
3559,3267,3410,4976,727,400,490,712,490,434,1
3716,3346,3443,4942,787,441,549,654,549,455,1
3634,3596,3424,4806,810,308,355,660,355,405,3
4002,4023,3839,5265,761,426,514,666,514,394,1
3380,3041,3126,4962,881,436,508,746,508,466,1
3779,3341,3569,5061,715,379,447,657,447,372,3
3851,3555,3966,5190,686,416,512,764,512,503,4
3001,2870,2966,4531,483,433,511,586,511,444,0
3650,3133,3150,4572,645,458,490,622,490,382,1
3662,3422,3485,5708,940,365,486,596,486,438,0
4021,3832,3837,4980,781,396,442,559,442,409,3
3593,3576,3589,5009,833,367,452,628,452,383,1
3490,3242,3377,4712,722,385,485,663,485,419,3
4072,3611,4063,5893,550,420,477,662,477,328,1
3548,3544,3499,5349,751,442,529,682,529,439,1
3173,3034,2923,4395,793,404,503,602,503,376,1
3670,3196,3363,4367,666,372,454,632,454,365,1
3038,2685,2981,3799,900,382,462,674,462,440,3
3545,3249,3117,4853,798,403,462,552,462,375,3
3461,3050,3365,4450,715,462,523,773,523,384,3
4217,3927,3895,5865,820,375,458,638,458,398,1
3171,2660,3012,4250,903,402,558,531,558,402,2
4229,3845,3906,5877,823,444,545,650,545,447,1
3385,2911,3201,5506,921,395,424,652,424,406,1
3362,3306,3265,4655,957,417,524,720,524,468,3
3468,3074,3072,4512,750,456,453,640,453,405,1
3362,2994,2997,4930,798,485,515,740,515,519,1
4038,3866,3942,5310,818,300,413,517,413,460,1
3450,3379,3500,5497,755,398,482,675,482,375,1
3555,3284,3334,4463,594,438,529,648,529,488,3
4192,3688,3859,5633,640,425,464,732,464,303,1
3319,3229,3116,4725,816,408,488,650,488,389,2
2863,2873,2896,4329,1034,420,468,717,468,375,1
3802,3564,3679,5042,715,427,510,693,510,394,0
3779,3270,3294,5370,660,430,471,742,471,401,1
3275,2785,2698,4285,763,383,433,596,433,439,1
3073,3131,3194,4777,819,407,511,653,511,479,0
2998,2889,2770,5169,869,421,522,613,522,417,1
3665,3521,3683,5392,883,390,474,650,474,341,1
3857,3512,3306,4831,840,394,450,652,450,406,1
3402,3209,3222,4937,707,473,562,724,562,459,1
3416,3117,3116,4853,1006,455,485,672,485,396,3
3792,3524,3539,5254,839,431,524,680,524,373,0
3540,3031,2997,4876,875,402,436,663,436,439,1
3636,3223,3402,5907,735,424,435,656,435,372,1
3418,3054,3215,4836,674,389,461,527,461,441,1
4397,4133,4089,5600,702,332,442,559,442,493,1
3925,3462,3565,5327,807,424,498,712,498,390,3
3016,2542,2597,5076,708,422,480,759,480,436,1
3820,3507,3775,5118,874,441,502,568,502,423,1
3744,3400,3633,5517,788,421,408,711,408,390,1
3697,3300,3585,5131,1003,362,488,633,488,435,1
4212,3819,3978,5055,992,406,497,666,497,506,1
3840,3590,3679,5589,953,420,407,723,407,414,1
3402,3227,3288,5126,785,391,430,710,430,354,1
4080,3816,3687,5582,679,335,423,506,423,428,1
4031,3956,3996,6201,711,407,518,753,518,460,1
3397,3198,3238,5097,824,379,487,672,487,364,1
3927,3860,3744,4930,889,456,470,704,470,432,1
3748,3220,3204,5063,732,419,493,623,493,469,1
3668,3595,3733,5002,766,384,502,640,502,435,1
3659,3202,3349,5029,655,382,487,692,487,496,1
3304,2880,3064,4682,877,327,401,583,401,381,1
3777,3706,3502,4938,759,379,433,587,433,327,1
3342,2956,3199,5007,931,420,518,690,518,530,1
4319,3919,3984,5861,796,284,404,587,404,318,1
3232,2754,3096,4949,677,393,482,607,482,376,1
3719,3419,3447,5066,958,411,496,771,496,403,3
3300,3061,3094,4983,838,432,490,718,490,377,1
3326,2898,3046,4522,961,330,397,639,397,372,1
3176,3027,3057,4744,563,421,547,642,547,449,1
3387,3216,3334,4163,620,393,463,600,463,313,1
3046,2660,3060,4073,670,515,615,791,615,431,0
3972,3722,3776,5974,820,425,477,701,477,346,1
3691,3230,3349,4760,602,415,443,652,443,529,3
3697,3242,3367,4611,862,356,451,609,451,411,1
3781,3406,3284,5005,740,344,429,653,429,359,1
4202,3777,3784,5732,694,319,290,552,290,301,1
3630,3359,3338,5122,737,403,458,629,458,527,1
3264,3006,2813,4728,730,474,506,778,506,527,1
3541,3469,3293,5118,877,381,503,643,503,463,0
4032,3876,4019,6124,865,405,421,640,421,386,1
3257,2875,2778,4090,689,428,460,668,460,357,1
3729,3407,3542,5642,523,403,467,583,467,499,0
3565,3480,3340,5239,825,377,475,713,475,474,1
3410,3173,3040,4946,951,424,474,599,474,453,1
4053,3693,3705,5235,744,371,473,551,473,403,1
4166,3977,3852,5597,852,354,429,589,429,348,4
3945,3678,3742,5837,796,338,489,610,489,355,1
3224,3222,3119,4716,659,487,542,710,542,419,1
3189,3062,3058,4600,485,426,475,704,475,443,1
3240,3512,3277,4804,676,431,541,671,541,333,0
3911,3425,3475,4946,856,441,541,639,541,431,3
3985,3453,3685,4809,588,398,476,670,476,392,3
3672,3310,3494,4902,684,383,475,661,475,488,1
3365,3130,3267,4844,711,407,462,674,462,431,3
3189,3069,3031,4542,717,339,441,555,441,347,1
3637,3183,3358,4889,590,436,437,608,437,419,1
3217,3021,3061,4884,749,472,517,747,517,396,1
3618,3557,3558,4668,621,338,430,485,430,299,2
3505,3215,3353,5604,998,406,494,696,494,398,4
3893,3358,3411,4921,946,384,422,621,422,417,1
